time,h_GR,h_GAF
0.2768,-3.83454e-30,-1.91727e-30
0.2773,-1.03257e-30,-5.16287e-31
0.2778,1.80722e-30,9.03612e-31
0.2783,3.08560e-30,1.54280e-30
0.2788,2.55807e-30,1.27904e-30
0.2793,6.85216e-31,3.42608e-31
0.2798,-1.21887e-30,-6.09433e-31
0.2803,-2.07476e-30,-1.03738e-30
0.2808,-1.71914e-30,-8.59570e-31
0.2813,-4.56864e-31,-2.28432e-31
0.2818,8.23419e-31,4.11710e-31
0.2823,1.39720e-30,6.98600e-31
0.2828,1.15571e-30,5.77854e-31
0.2833,3.05327e-31,1.52663e-31
0.2838,-5.58554e-31,-2.79277e-31
0.2843,-9.44057e-31,-4.72029e-31
0.2848,-7.78749e-31,-3.89374e-31
0.2853,-2.04332e-31,-1.02166e-31
0.2858,3.79360e-31,1.89680e-31
0.2863,6.40335e-31,3.20168e-31
0.2868,5.26991e-31,2.63496e-31
0.2873,1.37093e-31,6.85464e-32
0.2878,-2.59054e-31,-1.29527e-31
0.2883,-4.35052e-31,-2.17526e-31
0.2888,-3.56810e-31,-1.78405e-31
0.2893,-9.20414e-32,-4.60207e-32
0.2898,1.77284e-31,8.86419e-32
0.2903,2.96823e-31,1.48412e-31
0.2908,2.42859e-31,1.21429e-31
0.2913,6.21537e-32,3.10768e-32
0.2918,-1.21577e-31,-6.07886e-32
0.3233,-1.58397e-29,-7.91985e-30
0.3238,-1.00821e-29,-5.04104e-30
0.3243,-7.98848e-30,-3.99424e-30
0.3248,-2.11090e-30,-1.05545e-30
0.3253,3.58780e-30,1.79390e-30
0.3258,6.11719e-30,3.05859e-30
0.3263,4.83405e-30,2.41702e-30
0.3268,1.26471e-30,6.32353e-31
0.3273,-2.18686e-30,-1.09343e-30
0.3278,-3.71150e-30,-1.85575e-30
0.3283,-2.92518e-30,-1.46259e-30
0.3288,-7.57612e-31,-3.78806e-31
0.3293,1.33289e-30,6.66444e-31
0.3298,2.25187e-30,1.12593e-30
0.3303,1.77006e-30,8.85029e-31
0.3308,4.53771e-31,2.26885e-31
0.3313,-8.12371e-31,-4.06186e-31
0.3318,-1.36625e-30,-6.83123e-31
0.3323,-1.07107e-30,-5.35534e-31
0.3328,-2.71743e-31,-1.35871e-31
0.3333,4.95104e-31,2.47552e-31
0.3338,8.28926e-31,4.14463e-31
0.3343,6.48099e-31,3.24050e-31
0.3348,1.62708e-31,8.13541e-32
0.3353,-3.01732e-31,-1.50866e-31
0.3358,-5.02916e-31,-2.51458e-31
0.3363,-3.92156e-31,-1.96078e-31
0.3368,-9.74069e-32,-4.87034e-32
0.3373,1.83878e-31,9.19391e-32
0.3378,3.05120e-31,1.52560e-31
0.3383,2.37286e-31,1.18643e-31
0.3388,5.83036e-32,2.91518e-32
0.3393,-1.12053e-31,-5.60265e-32
0.3398,-1.85115e-31,-9.25573e-32
0.3403,-1.43575e-31,-7.17875e-32
0.3408,-3.48920e-32,-1.74460e-32
0.3413,6.82812e-32,3.41406e-32
0.3418,1.12307e-31,5.61534e-32
0.3423,8.68716e-32,4.34358e-32
0.3428,2.08775e-32,1.04388e-32
0.3433,-4.16066e-32,-2.08033e-32
0.3438,-6.81347e-32,-3.40674e-32
0.3443,-5.25621e-32,-2.62811e-32
0.3448,-1.24897e-32,-6.24487e-33
0.3453,2.53518e-32,1.26759e-32
0.3458,4.13357e-32,2.06678e-32
0.3463,3.18025e-32,1.59013e-32
0.3468,7.47036e-33,3.73518e-33
0.3473,-1.54468e-32,-7.72341e-33
0.3478,-2.50771e-32,-1.25385e-32
0.3483,-1.92417e-32,-9.62086e-33
0.3488,-4.46734e-33,-2.23367e-33
0.3493,9.41138e-33,4.70569e-33
0.3498,1.52134e-32,7.60671e-33
0.3504,1.16418e-32,5.82092e-33
0.3509,2.67097e-33,1.33548e-33
0.3514,-5.73394e-33,-2.86697e-33
